Player,Date,Ranking Points
Roger Federer,2013/12/02,4205
Roger Federer,2013/11/25,4205
Roger Federer,2013/11/18,4205
Roger Federer,2013/11/11,4205
Roger Federer,2013/11/04,3805
Roger Federer,2013/10/28,4245
Roger Federer,2013/10/21,4245
Roger Federer,2013/10/14,4245
Roger Federer,2013/10/07,4515
Roger Federer,2013/09/30,4515
Roger Federer,2013/09/23,4515
Roger Federer,2013/09/16,4515
Roger Federer,2013/09/09,4515
Roger Federer,2013/08/26,4695
Roger Federer,2013/08/19,4695
Roger Federer,2013/08/12,5515
Roger Federer,2013/08/05,5515
Roger Federer,2013/07/29,5875
Roger Federer,2013/07/22,5875
Roger Federer,2013/07/15,5785
Roger Federer,2013/07/08,5785
Roger Federer,2013/06/24,7740
Roger Federer,2013/06/17,7740
Roger Federer,2013/06/10,7640
Roger Federer,2013/05/27,8000
Roger Federer,2013/05/20,8000
Roger Federer,2013/05/13,7760
Roger Federer,2013/05/06,8670
Roger Federer,2013/04/29,8670
Roger Federer,2013/04/22,8670
Roger Federer,2013/04/15,8670
Roger Federer,2013/04/08,8670
Roger Federer,2013/04/01,8670
Roger Federer,2013/03/18,8715
Roger Federer,2013/03/04,9535
Roger Federer,2013/02/25,9855
Roger Federer,2013/02/18,9855
Roger Federer,2013/02/11,10265
Roger Federer,2013/02/04,10265
Roger Federer,2013/01/28,10265
Roger Federer,2013/01/14,10265
Roger Federer,2013/01/07,10265
Roger Federer,2012/12/31,10265
Roger Federer,2012/12/24,10265
Roger Federer,2012/12/17,10265
Roger Federer,2012/12/10,10265
Roger Federer,2012/12/03,10265
Roger Federer,2012/11/26,10265
Roger Federer,2012/11/19,10265
Roger Federer,2012/11/12,10265
Roger Federer,2012/11/05,9465
Roger Federer,2012/10/29,12315
Roger Federer,2012/10/22,12165
Roger Federer,2012/10/15,12165
Roger Federer,2012/10/08,11805
Roger Federer,2012/10/01,11805
Roger Federer,2012/09/24,11805
Roger Federer,2012/09/17,11805
Roger Federer,2012/09/10,11805
Roger Federer,2012/08/27,12165
Roger Federer,2012/08/20,12165
Roger Federer,2012/08/13,11345
Roger Federer,2012/08/06,11435
Roger Federer,2012/07/30,11075
Roger Federer,2012/07/23,11075
Roger Federer,2012/07/16,11075
Roger Federer,2012/07/09,11075
Roger Federer,2012/06/25,9435
Roger Federer,2012/06/18,9435
Roger Federer,2012/06/11,9310
Roger Federer,2012/05/28,9790
Roger Federer,2012/05/21,9790
Roger Federer,2012/05/14,9430
Roger Federer,2012/05/07,8520
Roger Federer,2012/04/30,8880
Roger Federer,2012/04/23,8880
Roger Federer,2012/04/16,8880
Roger Federer,2012/04/09,9035
Roger Federer,2012/04/02,9035
Roger Federer,2012/03/19,9350
Roger Federer,2012/03/05,8710
Roger Federer,2012/02/27,8235
Roger Federer,2012/02/20,8330
Roger Federer,2012/02/13,8010
Roger Federer,2012/02/06,8010
Roger Federer,2012/01/30,8010
Roger Federer,2012/01/16,8010
Roger Federer,2012/01/09,8010
Roger Federer,2012/01/02,8170
Roger Federer,2011/12/26,8170
Roger Federer,2011/12/19,8170
Roger Federer,2011/12/12,8170
