Province,year,GDP
Newfoundland_and_Labrador,2009,24972
Prince_Edward_Island,2009,4947
Nova_Scotia,2009,35254
New_Brunswick,2009,28825
Quebec,2009,315531
Ontario,2009,595433
Manitoba,2009,50636
Saskatchewan,2009,60326
Alberta,2009,246717
British_Columbia,2009,195966
Yukon,2009,2107
Northwest_Territories,2009,4020
Nunavut,2009,1548
Newfoundland_and_Labrador,2010,29063
Prince_Edward_Island,2010,5202
Nova_Scotia,2010,37073
New_Brunswick,2010,30082
Quebec,2010,329670
Ontario,2010,629500
Manitoba,2010,52896
Saskatchewan,2010,63379
Alberta,2010,270100
British_Columbia,2010,205996
Yukon,2010,2313
Northwest_Territories,2010,4787
Nunavut,2010,1936
Newfoundland_and_Labrador,2011,33497
Prince_Edward_Island,2011,5409
Nova_Scotia,2011,38349
New_Brunswick,2011,31409
Quebec,2011,345732
Ontario,2011,658635
Manitoba,2011,55758
Saskatchewan,2011,74605
Alberta,2011,299142
British_Columbia,2011,217460
Yukon,2011,2501
Northwest_Territories,2011,4696
Nunavut,2011,2063
Newfoundland_and_Labrador,2012,32365
Prince_Edward_Island,2012,5514
Nova_Scotia,2012,38214
New_Brunswick,2012,31751
Quebec,2012,357431
Ontario,2012,679616
Manitoba,2012,59126
Saskatchewan,2012,78873
Alberta,2012,315803
British_Columbia,2012,222565
Yukon,2012,2503
Northwest_Territories,2012,4484
Nunavut,2012,2239
Newfoundland_and_Labrador,2013,35832
Prince_Edward_Island,2013,5788
Nova_Scotia,2013,39145
New_Brunswick,2013,31900
Quebec,2013,362846
Ontario,2013,695705
Manitoba,2013,61323
Saskatchewan,2013,83222
Alberta,2013,338166
British_Columbia,2013,229685
Yukon,2013,2539
Northwest_Territories,2013,4412
Nunavut,2013,2445
